id;quantity;price;created_date;last_modified_date
1;1740;76131;2021-01-11T17:13:08;2021-01-11T17:13:08
2;28218;66986;2021-01-11T17:13:08;2021-01-11T17:13:08
3;666;6441;2021-01-11T17:13:08;2021-01-11T17:13:08
4;80961;56612;2021-01-11T17:13:08;2021-01-11T17:13:08
5;26855;62035;2021-01-11T17:13:08;2021-01-11T17:13:08
6;13761;51129;2021-01-11T17:13:08;2021-01-11T17:13:08
7;69752;47083;2021-01-11T17:13:08;2021-01-11T17:13:08
8;74120;88896;2021-01-11T17:13:08;2021-01-11T17:13:08
9;89857;18262;2021-01-11T17:13:08;2021-01-11T17:13:08
10;84718;79509;2021-01-11T17:13:08;2021-01-11T17:13:08
