id;image;image_content_type;image_url;name;height;weight;size;created_date;last_modified_date
1;../fake-data/blob/hipster.png;image/png;ADP Mountain Metal;user-facing harness haptic;69085;90931;94646;2021-01-11T17:13:08;2021-01-11T17:13:08
2;../fake-data/blob/hipster.png;image/png;Frozen Ergonomic Sleek;Steel Zloty;10418;50143;52792;2021-01-11T17:13:08;2021-01-11T17:13:08
3;../fake-data/blob/hipster.png;image/png;Security Mouse;Square 1080p;23798;2629;57552;2021-01-11T17:13:08;2021-01-11T17:13:08
4;../fake-data/blob/hipster.png;image/png;bypassing Architect;Assurance Savings Account;39760;37221;84740;2021-01-11T17:13:08;2021-01-11T17:13:08
5;../fake-data/blob/hipster.png;image/png;Frozen Gorgeous Hat;Unbranded Credit Card Account azure;89882;45824;48239;2021-01-11T17:13:08;2021-01-11T17:13:08
6;../fake-data/blob/hipster.png;image/png;digital withdrawal;array;3676;16702;78487;2021-01-11T17:13:08;2021-01-11T17:13:08
7;../fake-data/blob/hipster.png;image/png;algorithm;monitoring Congolese Franc;62802;26975;40412;2021-01-11T17:13:08;2021-01-11T17:13:08
8;../fake-data/blob/hipster.png;image/png;Plastic AGP;payment;56775;95562;97852;2021-01-11T17:13:08;2021-01-11T17:13:08
9;../fake-data/blob/hipster.png;image/png;middleware;Direct Swaziland Alabama;21177;6437;39307;2021-01-11T17:13:08;2021-01-11T17:13:08
10;../fake-data/blob/hipster.png;image/png;navigate;mission-critical Mountain;31660;1773;73626;2021-01-11T17:13:08;2021-01-11T17:13:08
