id;price;title;description;image_url;count;created_date;last_modified_date
1;23324;Checking Account;../fake-data/blob/hipster.txt;Gambia Assistant;74211;2021-01-11T17:13:08;2021-01-11T17:13:08
2;57374;monetize Principal navigate;../fake-data/blob/hipster.txt;wireless Computer;76146;2021-01-11T17:13:08;2021-01-11T17:13:08
3;89830;Dynamic magenta Track;../fake-data/blob/hipster.txt;actuating THX;8294;2021-01-11T17:13:08;2021-01-11T17:13:08
4;93728;Rustic Steel Soap Kina;../fake-data/blob/hipster.txt;navigating Metical;43291;2021-01-11T17:13:08;2021-01-11T17:13:08
5;9654;Infrastructure;../fake-data/blob/hipster.txt;Internal compressing;55080;2021-01-11T17:13:08;2021-01-11T17:13:08
6;63810;Bedfordshire;../fake-data/blob/hipster.txt;Credit Card Account;51217;2021-01-11T17:13:08;2021-01-11T17:13:08
7;18327;Lao People's Democratic Republic;../fake-data/blob/hipster.txt;neutral;4329;2021-01-11T17:13:08;2021-01-11T17:13:08
8;4184;Business-focused;../fake-data/blob/hipster.txt;Computer Oklahoma Identity;20520;2021-01-11T17:13:08;2021-01-11T17:13:08
9;30106;Practical Data Identity;../fake-data/blob/hipster.txt;Dynamic auxiliary;85535;2021-01-11T17:13:08;2021-01-11T17:13:08
10;90726;New Mexico Implementation Steel;../fake-data/blob/hipster.txt;Shirt intangible;27331;2021-01-11T17:13:08;2021-01-11T17:13:08
