id;status;bank_error;receipt_number;description;stan;created_date;last_modified_date;user_id;order_id
1;VERIFIED;Gorgeous;Divide Facilitator;Representative empowering;US Dollar;2021-01-11T17:13:08;2021-01-11T17:13:08;1;1
2;SUCCESS;invoice;implement internet solution;matrix Engineer;Fresh didactic;2021-01-11T17:13:08;2021-01-11T17:13:08;1;1
3;SUCCESS;New Caledonia Auto Loan Account Zimbabwe;Licensed Sleek Fresh Ball interface;invoice;next-generation incentivize;2021-01-11T17:13:08;2021-01-11T17:13:08;1;1
4;CREATED;cross-platform;4th generation optimize;Awesome Berkshire Pizza;Facilitator Regional Northern Mariana Islands;2021-01-11T17:13:08;2021-01-11T17:13:08;1;1
5;FAILED;Shirt;transmit;Bacon optical;olive IB;2021-01-11T17:13:08;2021-01-11T17:13:08;1;1
6;FAILED;full-range capacitor invoice;Awesome Cotton Soap;connect Corporate JSON;Montana models South Carolina;2021-01-11T17:13:08;2021-01-11T17:13:08;1;1
7;CREATED;JBOD Gardens;Planner magenta;intangible applications;Lek Developer silver;2021-01-11T17:13:08;2021-01-11T17:13:08;1;1
8;SUCCESS;iterate Dynamic;calculate Intelligent Concrete Chair Global;Towels;sky blue;2021-01-11T17:13:08;2021-01-11T17:13:08;1;1
9;SUCCESS;Health;lime;withdrawal;Industrial Botswana;2021-01-11T17:13:08;2021-01-11T17:13:08;1;1
10;CREATED;sky blue capacitor Pound Sterling;Auto Loan Account software;Drive integrated;Sharable Global USB;2021-01-11T17:13:08;2021-01-11T17:13:08;1;1
